datetime,Open,High,Low,Close,Volume
2024-06-13 14:18:00,67510.94,67564.87,67510.93,67564.87,0.04391693
2024-06-13 14:19:00,67575.37,67620.59,67575.37,67604.48,0.09219027
2024-06-13 14:20:00,67626.46,67638.78,67574.51,67605.75,0.11899216
2024-06-13 14:21:00,67603.85,67603.85,67589.07,67589.08,0.04137403
2024-06-13 14:22:00,67585.72,67598.04,67541.41,67598.04,0.01302805
2024-06-13 14:23:00,67571.36,67571.36,67458.24,67511.67,0.1054876
2024-06-13 14:24:00,67480.76,67480.76,67325.74,67332.86,0.50641423
2024-06-13 14:25:00,67341.98,67366.92,67280.16,67364.11,1.97737194
2024-06-13 14:26:00,67365.63,67409.64,67345.13,67398.05,0.50742335
2024-06-13 14:27:00,67388.91,67388.91,67335.68,67335.68,0.04449969
2024-06-13 14:28:00,67325.17,67327.62,67220.52,67229.35,0.52265116
2024-06-13 14:29:00,67228.84,67272.76,67142.52,67272.76,2.95259232
2024-06-13 14:30:00,67289.39,67403.65,67289.39,67393.45,1.50354821
2024-06-13 14:31:00,67365.74,67401.82,67297.72,67392.76,2.67129092
2024-06-13 14:32:00,67401.17,67401.17,67299.57,67321.04,0.46120835
2024-06-13 14:33:00,67362.79,67402.85,67349.59,67349.59,0.08914978
2024-06-13 14:34:00,67343.54,67494.22,67325.71,67457.34,2.55210821
2024-06-13 14:35:00,67504.2,67585.36,67389.81,67389.81,1.62497726
2024-06-13 14:36:00,67389.82,67446.93,67347.23,67422.84,0.4720588
2024-06-13 14:37:00,67431.3,67546.27,67421.68,67538.65,0.25287557
2024-06-13 14:38:00,67534.63,67618.33,67520.91,67610.67,0.05128619
2024-06-13 14:39:00,67641.28,67741.45,67631.52,67725.42,0.40331617
2024-06-13 14:40:00,67710.01,67710.02,67643.12,67643.12,0.68664966
2024-06-13 14:41:00,67628.91,67629.8,67575.15,67575.15,0.13091956
2024-06-13 14:42:00,67587.81,67587.81,67587.78,67587.78,0.0047
2024-06-13 14:43:00,67592.19,67608.56,67541.68,67554.83,0.07542253
2024-06-13 14:44:00,67560.92,67560.93,67550.11,67550.78,0.10894852
2024-06-13 14:45:00,67561.29,67670.1,67561.29,67653.3,0.28992034
2024-06-13 14:46:00,67655.65,67655.65,67619.96,67619.96,0.04004769
2024-06-13 14:47:00,67582.59,67582.59,67553.43,67570.53,0.08748985
2024-06-13 14:48:00,67480.19,67498.03,67466.58,67484.47,0.69594406
2024-06-13 14:49:00,67491.13,67573.08,67491.13,67573.08,0.43462495
2024-06-13 14:50:00,67583.65,67622.51,67581.17,67584.21,0.71239115
2024-06-13 14:51:00,67566.48,67568.0,67541.4,67568.0,0.01743923
2024-06-13 14:52:00,67505.4,67510.2,67490.8,67510.2,0.57668848
2024-06-13 14:53:00,67511.25,67587.43,67511.25,67570.99,0.65920771
2024-06-13 14:54:00,67590.48,67611.22,67513.63,67513.64,0.34972436
2024-06-13 14:55:00,67497.79,67497.79,67451.68,67492.94,0.5599788
2024-06-13 14:56:00,67487.65,67510.35,67487.65,67491.34,0.0618884
2024-06-13 14:57:00,67452.85,67452.85,67362.18,67362.18,0.39843904
2024-06-13 14:58:00,67362.18,67397.81,67335.89,67383.08,0.16226881
2024-06-13 14:59:00,67344.15,67372.96,67341.4,67372.94,0.29643936
2024-06-13 15:00:00,67321.01,67327.15,67289.55,67316.27,0.29644635
2024-06-13 15:01:00,67340.95,67378.15,67340.95,67378.15,0.06191333
2024-06-13 15:02:00,67371.24,67371.24,67278.97,67278.97,0.10555729
2024-06-13 15:03:00,67292.74,67341.01,67292.73,67341.01,0.09608036
2024-06-13 15:04:00,67292.39,67333.37,67292.39,67329.17,0.04004065
2024-06-13 15:05:00,67323.07,67330.9,67241.42,67324.8,0.64956341
2024-06-13 15:06:00,67339.75,67354.06,67329.57,67350.78,0.20153685
2024-06-13 15:07:00,67367.33,67436.17,67367.33,67436.17,0.06605134
2024-06-13 15:08:00,67449.72,67488.86,67449.72,67458.86,0.13599455
2024-06-13 15:09:00,67413.44,67425.83,67385.23,67425.83,0.46831089
2024-06-13 15:10:00,67425.85,67518.88,67407.99,67513.08,0.1722612
2024-06-13 15:11:00,67524.87,67524.88,67493.89,67493.89,0.60807699
2024-06-13 15:12:00,67451.29,67451.29,67421.34,67421.34,0.00017961
2024-06-13 15:13:00,67408.1,67408.1,67376.96,67376.96,0.08663125
2024-06-13 15:14:00,67308.64,67345.92,67308.64,67310.55,0.17157734
2024-06-13 15:15:00,67306.27,67311.07,67228.21,67228.21,0.09094086
2024-06-13 15:16:00,67200.0,67214.52,67186.82,67186.82,0.88968569
2024-06-13 15:17:00,67154.86,67165.99,67109.18,67116.0,0.49534722
2024-06-13 15:18:00,67122.71,67137.01,67013.32,67020.76,2.38953428
2024-06-13 15:19:00,67017.18,67066.45,67017.17,67040.64,1.63500217
2024-06-13 15:20:00,67032.04,67062.68,67030.98,67045.41,0.79629393
2024-06-13 15:21:00,67024.14,67024.65,66966.41,67004.86,1.19556157
2024-06-13 15:22:00,67018.93,67067.26,66963.92,67040.63,1.43715809
2024-06-13 15:23:00,67042.02,67061.51,66954.76,66981.81,0.91880823
2024-06-13 15:24:00,66965.17,67048.4,66917.58,67029.92,3.06901128
2024-06-13 15:25:00,67050.09,67072.21,66962.32,67003.48,1.89172763
2024-06-13 15:26:00,66974.2,67012.47,66974.2,66989.07,0.24489767
2024-06-13 15:27:00,66977.76,67032.45,66954.75,67005.29,0.4582626
2024-06-13 15:28:00,67013.89,67013.89,66928.16,66935.61,0.78306537
2024-06-13 15:29:00,66914.5,66973.89,66914.44,66973.89,0.3138949
2024-06-13 15:30:00,66952.23,67013.12,66934.62,66975.31,1.91368776
2024-06-13 15:31:00,66997.61,67023.21,66908.73,66977.0,1.71807615
2024-06-13 15:32:00,66993.74,66993.74,66888.0,66956.99,0.2799116
2024-06-13 15:33:00,66972.1,66985.89,66916.47,66916.47,0.29461192
2024-06-13 15:34:00,66930.26,66941.97,66912.86,66941.97,0.5774937
2024-06-13 15:35:00,66914.82,66972.96,66847.29,66910.77,2.03533129
2024-06-13 15:36:00,66892.48,66903.63,66800.29,66847.36,1.19859656
2024-06-13 15:37:00,66839.04,66857.71,66760.43,66773.69,0.7954873
2024-06-13 15:38:00,66755.63,66821.24,66718.24,66718.24,1.03138946
2024-06-13 15:39:00,66736.01,66751.83,66642.11,66652.81,1.99239696
2024-06-13 15:40:00,66656.47,66729.29,66602.42,66602.42,3.70552497
2024-06-13 15:41:00,66600.0,66650.45,66553.25,66582.68,2.31667718
2024-06-13 15:42:00,66586.84,66591.44,66505.58,66512.42,0.81463664
2024-06-13 15:43:00,66522.98,66627.66,66493.71,66627.66,1.87010768
2024-06-13 15:44:00,66632.37,66667.3,66623.47,66623.47,0.20047571
2024-06-13 15:45:00,66603.41,66618.09,66481.27,66504.47,1.00254351
2024-06-13 15:46:00,66504.44,66596.63,66458.58,66524.37,0.48779377
